# kernelbase.dll API compatibility database
# These APIs exist in kernelbase on Win10 but may not be in older kernel32.
kernelbase,SetThreadDescription,14393,L0,Runtime,Compat_SetThreadDescription
kernelbase,GetThreadDescription,14393,L0,Runtime,Compat_GetThreadDescription
kernelbase,VirtualAlloc2,14393,L2,Runtime,Compat_VirtualAlloc2
kernelbase,CreateFile2,14393,L1,Runtime,Compat_CreateFile2
kernelbase,QueryFullProcessImageNameW,14393,L1,Runtime,Compat_QueryFullProcessImageNameW
kernelbase,GetDpiForWindow,14393,L1,Runtime,Compat_GetDpiForWindow
kernelbase,SetProcessDpiAwarenessContext,15063,L3,Runtime,Compat_SetProcessDpiAwarenessContext
kernelbase,AddDllDirectory,14393,L0,Runtime,Compat_AddDllDirectory
kernelbase,RemoveDllDirectory,14393,L0,Runtime,Compat_RemoveDllDirectory
kernelbase,CreatePseudoConsole,17763,L1,Runtime,Compat_CreatePseudoConsole
kernelbase,ResizePseudoConsole,17763,L1,Runtime,Compat_ResizePseudoConsole
kernelbase,ClosePseudoConsole,17763,L1,Runtime,Compat_ClosePseudoConsole
kernelbase,GetConsoleScreenBufferInfoEx,16299,L1,Runtime,Compat_GetConsoleScreenBufferInfoEx
kernelbase,SetConsoleScreenBufferInfoEx,16299,L1,Runtime,Compat_SetConsoleScreenBufferInfoEx
kernelbase,GetCurrentConsoleFontEx,16299,L1,Runtime,Compat_GetCurrentConsoleFontEx
kernelbase,SetCurrentConsoleFontEx,16299,L1,Runtime,Compat_SetCurrentConsoleFontEx
kernelbase,GetConsoleDisplayMode,16299,L1,Runtime,Compat_GetConsoleDisplayMode
kernelbase,SetConsoleDisplayMode,16299,L1,Runtime,Compat_SetConsoleDisplayMode
kernelbase,IsProcessInJob,14393,L1,Runtime,Compat_IsProcessInJob
kernelbase,GetProcessDefaultCpuSetMasks,18362,L1,Runtime,Compat_GetProcessDefaultCpuSetMasks
kernelbase,SetProcessDefaultCpuSetMasks,18362,L1,Runtime,Compat_SetProcessDefaultCpuSetMasks
kernelbase,GetThreadSelectedCpuSets,18362,L1,Runtime,Compat_GetThreadSelectedCpuSets
kernelbase,SetThreadSelectedCpuSets,18362,L1,Runtime,Compat_SetThreadSelectedCpuSets
kernelbase,GetStartupInfoW,14393,L1,Runtime,Compat_GetStartupInfoW
kernelbase,GetTempPath2W,17763,L1,Runtime,Compat_GetTempPath2W
kernelbase,GetTempPath2A,17763,L1,Runtime,Compat_GetTempPath2A
kernelbase,GetSystemTimeAsFileTime,14393,L1,Runtime,Compat_GetSystemTimeAsFileTime
kernelbase,OpenFileById,14393,L1,Runtime,Compat_OpenFileById
kernelbase,SetFileIoOverlappedRange,14393,L1,Runtime,Compat_SetFileIoOverlappedRange
kernelbase,CopyFileExW,14393,L1,Runtime,Compat_CopyFileExW
kernelbase,MoveFileExW,14393,L1,Runtime,Compat_MoveFileExW
